key;en-us;zh-cn;cs-cz;de-de;fr-fr;pt-br;ja-jp;zh-tw;gl-es;pl-pl;ru-ru
language_code-ISO;en-US;zh-CN;cs-CZ;de-DE;fr-FR;pt-BR;ja-JP;zh-TW;gl-ES;pl-PL;ru-RU
language_code-google;en;zh-CN;cs;de;fr;pt;ja;zh-TW;gl;pl;ru
language_name;English (en-US);简体中文 (zh-CN);čeština (cs-CZ);Deutsch (de-DE);Français (fr-FR);Portuguese (pt-BR);日本語(ja-JP);正體中文(zh-TW);Galego(gl-ES);Polski (pl-PL);Русский(ru-RU)
Warning;Warning;警告;varování;Warnung;Warning;Warning;Warning;;;Uwaga;Предупреждение
Error;Error;错误;chyba;Fehler;Erreur;Error;Error;;;Błąd;Ошибка
Info;Info;提示;informace;Info;Info;Info;Info;;;Info;Информация
OK;OK;确定;OK;OK;OK;OK;OK;確定;OK;OK;OK
Exit;Exit;退出;Ukončit;Beenden;Sortir;Sair;;離開;Sair;Wyjście;Выход
Close;Close;关闭;Zavřít;Schließen;Fermer;Fechar;;關閉;Pechar;Zamknij;Закрыть
Add;Add;添加;Přidat;Hinzufügen;Ajouter;Adicionar;;新增;Engadir;Dodaj;Добавить
Edit;Edit;编辑;Upravit;Bearbeiten;Edition;Editar;;編輯;Editar;Edytuj;Редактировать
Save;Save;保存;Uložit;Speichern;Sauvegarder;Salvar;;儲存;Gravar;Zapisz;Сохранить
Save as...;Save as...;保存到...;Uložit jako…;Speichern als...;Sauvegarder sour...;Salvar como...;;另存新檔...;Gravar como…;Zapisz jako...;Сохранить как...
Back;Back;返回;Zpět;Zurück;Retour;Voltar;;返回;Atrás;Cofnij;Назад
Delete;Delete;删除;Smazat;Löschen;Effacer;Deletar;;刪除;Borrar;Usuń;Удалить
Cancel;Cancel;取消;Storno;Abbrechen;Annuler;Cancelar;;取消;Cancelar;Anuluj;Отмена
Select;Select;选择;Vybrat;Auswählen;Selectionner;Selecionar;;選擇;Seleccionar;Wybierz;Выбирать
Explore to...;Explore to...;定位到...;Prozkoumat v…;;Explorer...;Explorar como...;;瀏覽至...;Explorar como…;Przeglądaj...;Исследуйте, чтобы...
Previous;Previous;上一页;Předchozí;Zurück;Précédent;Anterior;;上一頁;Anterior;Poprzedni;Предыдущий
Next;Next;下一页;Další;Weiter;Suivant;Próximo;;下一頁;Próximo;Następny;Следующий
Done;Done;完成;Hotovo;Fertig;Effectuée;OK;;完成;Feito;Gotowe;Выполнено
Reset;Reset;重置;Resetovat;Zurücksetzen;Réinitialiser;Redefinir;;重設;Reset;Resetuj;Перезагрузить
Import;Import;导入;Import;Import;Importer;Importar;;匯入;Importar;Import;Импорт
Export;Export;导出;Export;Export;Exporter;Exportar;;匯出;Exportar;Eksport;Экспорт
Name;Name;名称;Název;Name;Nom;Nome;;名稱;Nome;Nazwa;Имя
File Name;File Name;文件名;Název souboru;Dateiname;Nom de fichier;Nome do arquivo;;檔案名稱;Nome do arquivo;Nazwa pliku;Имя файла
Test;Test;测试;Test;Testen;;Teste;;測試;Test;Test;Тест
Reconnect;Reconnect;重新连接;Znovu připojit;Neu verbinden;Reconnecter;Reconectar;;重新連線;Reconectar;Połącz ponownie;Восстановить соединение
Dismiss;Dismiss;关闭;Zahodit;Schließen;Rejeter;Dispensar;;關閉;Rexeitar;Odrzuć;Отклонить
Lock;Lock;锁定;Zamknout;Sperren;Verrouiller;Bloquear;;鎖定;Bloquear;Zablokuj;Замок
Always on top;Always on top;置顶;Vždy na vrchu;Immer oben;Garder au premier plan;Sempre no topo;;保持在最上層;Sempre encima;Zawsze na wierzchu;Always on top
Close all;Close all;全部关闭;Zavřít vše;Alle schließen;Tout fermer;Fechar tudo;;全部關閉;Pechar todo;Zamknij wszystkie;Закрыть все
Rename;Rename;重命名;Přejmenovat;Umbenennen;Renommer;Renomear;;重新命名;Renomear;Zmień nazwę;Переименовать
Connect;Connect;连接;Připojit;Verbinden;Connexion;Conectar;;連線;Conectar;Połącz;Подключиться
Connect (New window);Connect (New window);连接 (新窗口);Připojit (nové okno);Verbinden (Neues Fenster);Connexion (Nouvelle fenetre);Conectar (Nova janela);;連線 (開新視窗);Conectar (nova fiestra);Połącz (nowe okno);Подключиться (новое окно)
Note;Note;Note;Poznámka;Notiz;Note;Note;;備註;Nota;Nota;Примечание
Share;Share;分享;Sdílet;Teilen;;;;分享;Compartir;Udostępnij;Поделиться
Copy;Copy;复制;Zkopírovat;Kopieren;;;;複製;Copiar;Kopiuj;Копировать
Enabled;Enabled;启用;Zapnuto;Aktiv;Activer;Habilitado;;啟用;Habilitado;Aktywne;Включено
Helper;Helper;助手;Pomocné;Helfer;;Ajudante;;助手;Axudante;Pomoc;Помощник
Preview;Preview;预览;Náhled;Vorschau;;Visualizar;;預覽;Vista previa;Podgląd;Предварительный просмотр
Theme;Theme;主题;Vzhled;Farbschema;Thème;Tema;;主題;Tema;Motyw;Тема
Color;Color;颜色;Barva;Farbe;Couleur;Cor;;顏色;Color;Kolor;Цвет
Color1;Color1;主色;Barva1;Farbe1;Couleur1;Cor 1;;主要顏色;Color1;Kolor1;Цвет1
Color2;Color2;副色;Barva2;Farbe2;Couleur2;Cor 2;;輔助顏色;Color2;Kolor2;Цвет2
Background;Background;背景色;Pozadí;Hintergrund;Arrière-plan;Fundo;;背景顏色;Fondo;Tło;Фон
Normal;Normal;常规;Normální;Normal;;;;常规;Normal;Normalny;Нормальный
Lighter;Lighter;亮色;Světlejší;Heller;Clair;Mouse em cima;;淺色;Brillante;Jasny;Светлее
Darker;Darker;暗色;Tmavší;Dunkler;Sombre;Fundo dos menus;;深色;Escuro;Ciemny;Темнее
Font;Font;字体;Písmo;Schriftart;Police de caractère;Cor da fonte;;字型;Fonte;Czcionka;Шрифт
Font size;Font size;字体大小;Velikost písma;Schriftgröße;Taille de la police;Tamanho da fonte;;字型大小;Tamaño da fonte;Rozmiar czcionki;Размер шрифта
Themes;Themes;主题;Motivy vzhledu;Farbschema;Thèmes;Temas;;主題;Temas;Motywy;Темы
Options;Options;设置;Předvolby;Optionen;;Opções;;設定;Opcións;Opcje;Параметры
About;About;关于;O aplikaci;Über;À propos;Sobre;;關於;Sobre;O programie;О программе
Language;Language;语言;Jazyk;Sprache;Langue;Idioma;;語言;Lingua;Język;Язык
Startup;Startup;启动;Při startu;Start;Commencez;Inicialização;;啟動;Comezo;Uruchomienie;Запуск
Tags;Tags;标签;Štítky;Tags;;Marcações;;標籤;Etiquetas;Tagi;Теги
Logo;Logo;图标;Logo;Logo;;Logotipo;;圖示;Logo;Logo;Логотип
Hostname;Hostname;地址;Název stroje;Hostname;;Hospedeiro;;主機名稱;Nome do host;Nazwa komputera;Имя хоста
Target;Target;目标;Cíl;Ziel;Cibler;;;目標;Destiño;Cel;Цель
Port;Port;端口;Port;Port;Port;Port;;連接埠;Porto;Port;Порт
User;User;用户名;Uživatel;Benutzer;Utilisateur;Usuário;;使用者名稱;Usuario;Użytkownik;Пользователь
Password;Password;密码;Heslo;Passwort;Mot de passe;Senha;;密碼;Chave de paso;Hasło;Пароль
Selected;Selected;选中;Vybráno;Ausgewählt;;Selecionado;;已選取;Seleccionado;Wybrane;Выбрано
Custom;Custom;定制;Uživatelsky určené;Benutzerdefiniert;Coutume;Personalizado;;自訂;Personalizado;Personalizacja;Пользовательский
All;All;全部;Vše;Alle;Tous;Todos;;全部;Todos;Wszystkie;Все
Protocol;Protocol;协议;Protokol;Protokoll;;Protocolo;;協定;Protocolo;Protokół;Протокол
Cameras;Cameras;摄像头;;Kameras;;;;;;Kamera;Камеры
Upload;Upload;上传;;Upload;;;;;;Wgraj;Загрузить
filter_mainwindow;Keywords or '#' + tag name or 'Tab' key;输入关键词或 '#' + 标签名或Tab键;Klíčová slova nebo „#“ + název štítku;Schlüsselwörter oder '#' + Tag-Name;Mots-clés ou '#' + nom de tag;Palavras-chave ou '#' + 'nome_da_tag';;輸入關鍵字或 '#' + 標籤名稱;Palabras chave ou '#' + etiqueta;Słowa kluczowe lub '#' + nazwa taga;Ключевые слова или «#» + имя тега или клавиша «Tab»
Search (Ctrl+F);Search (Ctrl + F);搜索 (Ctrl + F);Hledat (Ctrl + F);Suche (STRG + F);Rechercher (Ctrl + F);Procurar (Ctrl + F);;搜尋 (Ctrl + F);Procurar (Ctrl + F);Szukaj (CTRL + F);Поиск (Ctrl + F)
hotkey_already_registered;Hot key already been registered;快捷键已被占用;Klávesová zkratka už je zaregistrována (pro něco jiného?);Hotkey bereits registriert;Raccourci clavier déjà enregistré;Tecla de atalho já registrada;;快捷鍵已被其他應用程式占用;Atallo xa rexistrado;Skrót klawiszowy został już przypisany;Горячая клавиша уже зарегистрирована
hotkey_registered_fail;Failed to register the hot key;快捷键注册失败;Klávesovou zkratku se nepodařilo zaregistrovat;Fehler bei der Hotkey Registrierung;Echec de l'enregistrement du raccourci clavier;Falha ao registrar a tecla de atalho;;快捷鍵綁定失敗;Fallou o rexistro do atallo;Nie udało się przypisać skrótu klawiszowego;Не удалось зарегистрировать горячую клавишу
string_permission_denied;Permission denied;无操作权限;Oprávnění odepřeno;Zugriff verweigert;Permission refusée;Permissão negada;;沒有存取權限;Permiso denegado;Odmowa dostępu;Доступ запрещен
file_transmit_host_list_header_last_update;Last update;修改时间;Naposledy zaktualizováno;Letztes Update;Dernière mise à jour;Última atualização;;修改日期;Última actualización;Ostatnia aktualizacja;Последнее обновление
Type;Type;类型;Typ;Typ;;Tipo;;類型;Tipo;Typ;Тип
file_transmit_host_list_header_size;Size;大小;Velikost;Größe;Taille;Tamanho;;大小;Tamaño;Rozmiar;Размер
file_transmit_host_message_preview_over_size;This item is over 1 MB, are you sure you want to open it?;文件超过 1 MB，确定要打开吗?;Tato položka má přes 1 MB – opravdu ji chcete otevírat?;Das Bild ist über 1 MB groß, wirklich öffnen?;Cet élément fait plus de 1 Mo, est-il sûr de l'ouvrir ?;Este item tem mais de 1 MB. Tem certeza de que quer abrir?;;檔案超過 1 MB，您確定要繼續開啟嗎？;Este obxecto sobrepasa 1 MB, está seguro de que quere abrilo?;Plik ma ponad 1MB, czy na pewno chcesz go otworzyć?;Размер этого объекта превышает 1 МБ. Вы уверены, что хотите его открыть?
file_transmit_host_message_files_download_to;Please select a folder to save to;将文件下载到所选文件夹;Vyberte složku do které uložit;Bitte wählen Sie den Speicherpfad aus;Veuillez sélectionner un dossier pour enregistrer les fichiers;Selecione uma pasta para salvar;;將檔案下載到選擇的資料夾;Por favor, escolle un cartafol onde gardalo;Wybierz folder do zapisu;Пожалуйста, выберите папку для сохранения
file_transmit_host_message_files_download_to_dir;Use this folder;选择该文件夹;Použít tuto složku;Den Ordner verwenden;Utiliser ce dossier;Usar esta pasta;;使用此資料夾;Usar este cartafol;Użyj tego folderu;Используйте эту папку
file_transmit_host_message_select_files_to_upload;Please select files to upload;请选择要上传的文件;Vyberte soubory k nahrání;Bitte die Dateien zum Hochladen auswählen;Veuillez sélectionner les fichiers à télécharger;Selecione os arquivos para fazer o upload;;請選擇要上傳的檔案;Por favor, escolle os arquivos a enviar;Wybierz pliki do wysłania;Пожалуйста, выберите файлы для загрузки
file_transmit_host_command_refresh;Refresh (F5);刷新(F5);Načíst znovu (F5);Aktualisieren (F5);Actualiser (F5);Atualizar (F5);;重新整理 (F5);Actualizar (F5);Odśwież (F5);Обновить (F5)
file_transmit_host_command_create_folder;Create a folder;新建文件夹;Vytvořit složku;Ordner erstellen;Créer le dossier;Criar uma nova pasta;;新增資料夾;Crear un cartafol;Utwórz folder;Создать папку
file_transmit_host_command_upload;Upload (Ctrl + V);上传(Ctrl + V);Nahrát (Ctrl + V);Upload (STRG + V);Télécharger (Ctrl + V);Enviar (Ctrl + V);;上傳 (Ctrl + V);Enviar (Ctrl+V);Wyślij (CTRL + V);Загрузить (Ctrl + V)
file_transmit_host_command_select_files_upload;Select files to upload;选择文件上传;Vyberte soubory k nahrání;Dateien zum Hochladen auswählen;Sélectionnez les fichiers à télécharger;Selecione os arquivos para fazer o upload;;上傳檔案;Escolle os arquivos para enviar;Wybierz pliki do wysłania;Выберите файлы для загрузки
file_transmit_host_command_select_folder_upload;Select a folder to upload;选择文件夹上传;Vyberte složku k nahrání;Ordner zum Hochladen auswählen;Sélectionnez le dossier à télécharger;Selecione uma pasta para fazer o upload;;上傳資料夾;Escolle un cartafol para enviar;Wybierz folder do wysłania;Выберите папку для загрузки
file_transmit_host_command_delete;Delete (Del);删除(Del);Smazat (Del);Löschen (Del);Supprimer (Del);Deletar (Del);;刪除 (Del);Borrar (Del);Usuń (DEL);Удалить (Del)
file_transmit_host_command_save_to;Save to... (Ctrl + S);保存到...(Ctrl + S);Uložit do… (Ctrl + S);Speichern nach... (STRG + S);Enregistrer sous ... (Ctrl + S);Salvar como... (Ctrl + S);;儲存到... (Ctrl + S);Gravar coma…. (Ctrl + S);Zapisz jako... (CTRL + S);Сохранить в... (Ctrl + S)
file_transmit_host_warning_same_names_title;Replace or cancel;替换或跳过;Nahradit nebo zrušit;Austauschen oder abbrechen;Remplacer ou annuler;Substituir ou cancelar;;取代或略過;Reemplazar ou cancelar;Zamień lub anuluj;Заменить или отменить
file_transmit_host_warning_same_names;The destination has {0} file(s) with the same name(s). Do you want to continue?;目标包含{0}个同名文件，需要替换吗？;Cíl už obsahuje {0} takto nazvaný soubor(y). Chcete je přepsat?;Das Ziel hat {0} Dateien mit den gleichen Namen. Möchten Sie fortfahren?;La destination contient {0} fichiers portant les mêmes noms. Voulez-vous continuer?;O destino tem {0} arquivo(s) com o(s) mesmo(s) nome(s). Você quer continuar?;;目標位置已有 {0} 個相同名稱的檔案，要以這些檔案取代嗎？;O destiño ten {0} arquivo(s) co mesmo nome(s). Queres continuar=;Punkt docelowy zawiera {0} plik/ów z tą samą nazwą. Czy chcesz kontynuować?;В пункте назначения есть {0} файлов с такими же именами. Вы хотите продолжить?
host_reconecting_info;Reconnecting...;正尝试重新连接...;Opětovné připojování…;Wiederverbinden...;Reconnexion ...;Reconectando...;;正在重試連線...;Reconectando…;Ponowne łączenie...;Повторное подключение...
Toggle Cards/List;Toggle Cards/List;切换卡片/列表;Přepnout mezi kartami/seznamem;Kacheln/Liste anzeigen;Basculer les Tuiles/Liste;Alternar Cartões/Lista;;切換卡片/清單;Cambiar Cartas/Lista;Aktywuj karty/listę;Переключить вид: карты/список
system_options_general_title;General;常规;Obecné;Allgemein;Général;Geral;;一般;Xeral;Ogólne;Общий
Run automatically at OS startup;Run automatically at OS startup(minimized);开机自启动(最小化);Spouštět automaticky při přihlášení do systému(minimized);Mit dem Betriebssystem starten (minimiert);Exécuter automatiquement au démarrage du système d'exploitation;Executar automaticamente na inicialização do SO(minimized);;跟隨作業系統一併啟動(縮小至系統匣);Executar automáticamente ao inicio do SO(minimized);Uruchom automatycznie przy starcie systemu (zminimalizowany);Запускаться автоматически при запуске ОС (в свернутом виде)
Confirm before closing;Confirm before closing;关闭远程会话前弹窗确认;Zavírat až po potvrzení;Bestätigen Sie vor dem Schließen;Confirmer avant de fermer;Confirme antes de fechar;;關閉遠端工作階段前顯示確認視窗;Confirmar antes de pechar;Potwierdź przed zamknięciem;Подтверждать перед закрытие
Show current session icon instead of the app icon when connected;Show current session icon instead of the app icon when connected;远程桌面开启后显示当前会话的图标;Show current session icon instead of the app icon when connected;Symbol der aktuellen Sitzung anstelle des Anwendungssymbols bei bestehender Verbindung anzeigen;Show current session icon instead of the app icon when connected;Show current session icon instead of the app icon when connected;Show current session icon instead of the app icon when connected;遠端桌面開啟後顯示目前工作階段的圖示;Mostrar a icona da sesión actual en troques da icona da aplicación cuando se conecte;Pokaż aktywne ikonki sesji zamiast ikonek aplikacji gdy połączony;Показывать значок текущего сеанса вместо значка приложения при подключении
system_options_general_log_file_path;Log file;日志文件;Soubor se záznamem událostí;Logdatei;Fichier journal;Arquivo de LOG;;日誌檔案;Arquivo do log;Plik logów;Лог
system_options_quick_match_providers;Keyword-Matchers;关键词匹配器;Hledání shod s klíčovými slovy;;Mots clés correspondants;Correspondentes de palavras-chave;;關鍵字對應管理;Palabras chave  - Coincidentes;Słowa kluczowe lub '#' + nazwa taga;Сопоставления ключевых слов
Launcher;Launcher;启动器;Spouštěč;Startprogramm;Lanceur;Atalhos;;啟動器;Lanzador;Aplikacja startowa;Лаунчер
system_options_quick_launcher_enable;Enable the launcher;启用;Zapnout spouštěč;Aktiv;Activer;Ative os atalhos;;啟用;Activar o lanzador;Włącz aplikację startową;Включить лаунчер
system_options_quick_launcher_hotkey;Hot key;快捷键;Klávesová zkratka;Hotkey;Raccourci clavier;Tecla de atalho;;快捷鍵;Atallo;Skrót klawiszowy;Горячая клавиша
system_options_data_security_database;Database;数据库;Databáze;Datenbank;Base de données;Base de dados;;資料庫;Base de datos;Baza danych;База данных
Caution: Your data will be saved unencrypted!;Caution: Your data will be saved unencrypted!;导出数据将以明文显示，请妥善保管！;Varování: vaše data budou uložena nešifrovaná!;Achtung: Ihre Daten werden unverschlüsselt gespeichert;Mise en garde : vos données seront enregistrées non cryptées !;Atenção: Seus dados serão salvos sem criptografia!;;;;Uwaga: Twoje dane nie będą kodowane!;Внимание: ваши данные будут сохранены в незашифрованном виде!
system_options_data_security_info_data_processing;Processing data. Do not close the app!;数据处理中，请勿关闭程序。;Zpracovávají se data. Nezavírejte aplikaci!;Datenverarbeitung, Programm bitte nicht schließen.;Traitement des données, ne fermez pas l'application.;Processando dados. Não feche o aplicativo!;;正在處理資料，請勿關閉應用程式。;Procesando datos. Non peches a aplicación!;Przetwarzanie danych. Nie zamykaj aplikacji!;Обработка данных. Не закрывайте приложение!
system_options_data_security_error_can_not_open;Database: Permission denied for reading or the file is not a database or the file is an encrypted database!;数据库：所选文件已被占用或不是数据库或该数据库已被加密！;Databáze: odepřeno oprávnění pro čtení nebo soubor není databází, případně je šifrovaná!;Datei ist keine Datenbank oder Datei ist eine verschlüsselte Datenbank!;Base de données : autorisation de lecture refusée ou le fichier n'est pas une base de données ou le fichier est une base de données cryptée !;Banco de dados: Permissão negada para leitura. Ou o arquivo não é um banco de dados ou o arquivo é um banco de dados criptografado!;;資料庫：選擇的檔案不是資料庫格式，或是正在被其他應用程式占用，或者資料已被加密！;Base de datos: Permiso denegado para ler o arquivo ou o arquivo non é una base de datos ou o arquivo está encriptado;Baza danych: Odmowa dostępu do odczytu lub plik nie jest bazą danych lub plik jest zaszyfrowany!;База данных: разрешение на чтение отклонено, либо файл не является базой данных, либо файл является зашифрованной базой данных!
string_database_error_permission_denied;Database: Permission denied for reading! Please check your password of db or the file occupation.;数据库：没有足够的权限读取，或数据库已被占用！;Databáze: Odepřeno oprávnění pro čtení! Zkontrolujte správnost svého hesla nebo přítomnost souboru.;Datenbank: Berechtigung zum Lesen verweigert! Bitte überprüfen Sie Ihr Passwort der Datei.;Base de données : autorisation de lecture refusée! Veuillez vérifier le mot de passe du fichier.;Banco de dados: Permissão negada para leitura! Por favor, verifique sua senha de db ou o local do arquivo.;;資料庫：沒有存取權限，或者正在被其他應用程式占用！;Base de datos: Permiso denegado para ler! Por favor, comproba a chave de paso da base de datos;Baza danych: odmowa dostępu do odczytu! Sprawdź hasło pliku albo plik jest w użyciu.;База данных: доступ к чтению запрещен! Пожалуйста, проверьте свой пароль БД. Или файл может быть использован в другом приложении.
server_card_operate_duplicate;Duplicate;创建副本;Zduplikovat;Duplizieren;Dupliquer;Duplicado;;建立副本;Duplicar;Duplikuj;Дублировать
server_card_operate_copy_address;Copy hostname to clipboard;复制地址到剪贴板;Zkopírovat název stroje do schránky;Hostname in die Zwischenablage kopieren;Copier nom d'hôte dans le presse-papiers;Copie o nome do host para a área de transferência;;複製主機名稱或網址到剪貼簿;Copiar o nome do host ao portapapeis;Kopiuj nazwę komputera do schowka;Скопировать имя хоста в буфер обмена
server_card_operate_copy_username;Copy username to clipboard;复制用户名到剪贴板;Zkopírovat uživatelské jméno do schránky;Benutzername in die Zwischenablage kopieren;Copier le nom d'utilisateur dans le presse-papiers;Copiar nome de usuário para a área de transferência;;複製使用者名稱到剪貼簿;Copiar o nome do usuario ao portapapeis;Kopiuj nazwę użytkownika do schowka;Скопировать имя пользователя в буфер обмена
server_card_operate_copy_password;Copy password to clipboard;复制密码到剪贴板;Zkopírovat heslo do schránky;Passwort in die Zwischenablage kopieren;Copier le mot de passe dans le presse-papiers;Copiar senha para a área de transferência;;複製密碼到剪貼簿;Copiar a chave de paso ao portapapeis;Kopiuj hasło do schowka;Скопировать пароль в буфер обмена
confirm_to_delete;Are you sure you want to delete?;确认要删除吗？;Opravdu chcete smazat?;Wirklich löschen?;Valider la suppression ?;Tem certeza de que deseja excluir?;;您確定要刪除嗎？;Seguro de que queres borrar?;Czy na pewno usunąć?;Вы уверены, что хотите удалить?
confirm_to_delete_selected;Are you sure you want to delete all selected?;确认要删除所选全部项目吗？;Opravdu chcete vše vybrané smazat?;Wirklich alle markierten Einträge löschen?;Valider la suppression de toutes les sélections ?;Tem certeza de que deseja excluir todos os selecionados?;;您確定要刪除選取的全部項目嗎？;Seguro de que queres borrar todo o seleccionado?;Czy napewno usunąć wszystkie zaznaczone pliki?;Вы уверены, что хотите удалить все выбранное?
import_server_dialog_title;Select a file;选择导入文件;Vyberte soubor;Dateiauswahl;Sélectionner un fichier;Selecione um arquivo;;選取匯入檔案;Escoche un arquivo;Wybierz pliki do wysłania;Выберите файл
import_from_json;import json;导入 json;import json;json importieren;import json;import json;import json;從 JSON 檔案;dende json;Importuj json;импортировать JSON
import_from_mremoteng_csv;import mRemoteNG csv;导入 mRemoteNG csv;import mRemoteNG csv;mRemoteNG csv importieren;import mRemoteNG csv;import mRemoteNG csv;import mRemoteNG csv;;;Importuj csv z  mRemoteNG;импортировать mRemoteNG csv
import_from_rdp_file;import *.rdp;导入 .rdp;import *.rdp;import *.rdp;import *.rdp;import *.rdp;import *.rdp;;;Importuj *.rdp;импортировать *.rdp
import_from_sqlite_db;import PRemoteM db;导入 PRemoteM 数据库;;PRemoteM db importieren;;;;;;;импортировать базу данных PRemoteM
import_done_0_items_added;Imported successfully, {0} item(s) added.;已导入{0}条记录.;Úspěšně naimportováno, {0} položek přidáno.;Erfolgreich importiert, {0} Element(e) hinzugefügt.;Importé avec succès, {0} élément(s) ajouté(s).;Importado com sucesso, {0} item(ns) adicionado(s).;;已匯入 {0} 筆項目。;Importación completada, {0} obxectos engadidos.;Import zakończony pomyślnie, {0} wpis/ów dodane.;Импортировано успешно, добавлено {0} элементов.
import_failure_with_data_format_error;Error data format!;导入0条，输入的数据文件格式有误!;Chyba ve formátu dat!;Falsches Datenformat!;Erreur dans le format des données !;Erro no formato dos dados!;;沒有項目被匯入，可能是檔案格式有問題！;Error no formato do dato!;Błąd formatu pliku!;Ошибка формата данных!
server_editor_different_options;<different options>;<不同的值>;<různé předvolby>;<verschiedene Optionen>;<Options différentes>;<opções diferentes>;;<不同的值>;<differentes opcións>;<inne opcje>;<разные варианты>
server_editor_bulk_editing;Bulk editing;批量编辑;Hromadné upravování;Massenbearbeitung;Modification groupée;Edição em massa;;批次編輯;Editar en bloque;Edycja masowa;Массовое редактирование
server_editor_bulk_editing_title;You are editing in bulk:;你正在批量编辑:;Hromadně upravujete:;Sie bearbeiten große Mengen;Vous modifiez en masse :;Você está editando em massa:;;您正在批次編輯：;Estás a editar en bloque:;Edytujesz masowo:;Вы редактируете массово:
server_editor_multi_selected_count;Number of selected items:;选中数量：;Počet vybraných položek:;Anzahl ausgwählter Elemente;Nombre d'éléments sélectionnés:;Número de itens selecionados:;;已選取數量：;Número de obxectos escollidos:;Ilość zaznaczonych wpisów:;Количество выбранных:
server_editor_group_title_common;Common;常规;Společné;Allgemein;Commun;Frequente;;一般;Común;Wszystkie;Общие
Connection;Connection;连接;Připojení;Verbindung;;Conexão;;連線;Conexión;Połączenie;Подключение
server_editor_group_title_display;Display;显示;Zobrazení;Anzeige;Affichage;Tela;;顯示;Pantalla;Wyświetl;Экран
server_editor_group_title_advantage;Advantage;高级;Výhoda;Erweitert;Avantage;Vantagem;;進階;Ventaxa;Zaawansowany;Продвинутые
server_editor_group_title_gateway;RD Gateway Server;RD 网关服务器;Server brány vzdálených ploch;Remotedesktop-Gatewayserver;Serveur de passerelle RD;Servidor Gateway RD;;RD 閘道伺服器;Porta en enlace do servidor RD;Serwer bramy RD;Сервер шлюза удаленных рабочих столов
server_editor_tags_tag;Can enter multiple, separated by ',';可以输入多个，用 ',' 分隔;Je možné zadat vícero, oddělovaných „,“ (čárkou);Mehrere durch „,“ getrennte möglich;Peut entrer plusieurs, séparés par ',';Podem ser inseridos vários, separados por ',';;可以輸入多個，以 ',' 分隔;Podes meter varios, separados por ',';Można wprowadzić kilka wartości, oddzielane za pomocą ',';Можно ввести несколько, разделив их ','
Script before connect;Script before connect;会话连接前运行脚本;;Skript vor Verbindungsaufbau;;;;連線前執行脚本;Script antes de conectar;Wykonaj skrypt przed połączeniem;Скрипт перед подключением
Hide script window;Hide script window(not recommended for script take long time);隐藏脚本运行窗口（长耗时脚本不推荐勾选）;;Skriptfenster ausblenden (nicht für Skripte mit langer Laufzeit empfohlen);;;;隱藏批次檔執行視窗 (不建議需要較長時間執行的脚本);;Schowaj okineko ze skryptem (nie zalecane w przypadku czasochłonnych skryptów);Скрыть окно скрипта (не рекомендуется для скриптов, которые занимают много времени)
Script after disconnected;Script after disconnected;会话关闭后运行脚本;;Script nach Verbindungsende;;;;連線結束後執行脚本;Script despois de desconectar;Wykonaj skrypt przed rozłączeniem;Скрипт после отключения
Run bat before connect;Run bat before connect(e.g. run 'C:\OpenSshTunneling.bat');连接前运行脚本（如:运行'C:\OpenSshTunneling.bat'）;;Führt bat aus, bevor eine Verbindung hergestellt wird (z. B. „C:\OpenSshTunneling.bat“ ausführen);;;;連線前執行脚本 (例如：執行 'C:\OpenSshTunneling.bat');Executar bat antes de conectar (ex. Executar 'C:\OpenSshTunneling.bat');Wykonaj plik .bat przed połączeniem (np. run 'C\OpenSshTunneling.bat');Запустить bat перед подключением (например, запустите «C:\OpenSshTunneling.bat»)
